"id","varname","month","coef","significant","ci_lower","ci_upper","tree.uniqueID"
1,"spei1","Jun",-0.167185097819229,FALSE,-0.376391031008133,0.0371228220250173,"spAC2_1"
2,"spei1","Jul",0.111529700523285,FALSE,-0.111230178554233,0.396265298736133,"spAC2_1"
3,"spei1","Aug",-0.0208918308931544,FALSE,-0.173927609747729,0.120551684419808,"spAC2_1"
4,"spei1","Sep",0.17727730785673,TRUE,0.013909055387865,0.345348327014872,"spAC2_1"
5,"spei1","Oct",0.286430830299465,TRUE,0.0155310408687613,0.493587645626554,"spAC2_1"
6,"spei1","Nov",-0.0529237607492509,FALSE,-0.189195220263775,0.0666831843039669,"spAC2_1"
7,"spei1","Dec",0.012679261432403,FALSE,-0.233046207634554,0.163844379314821,"spAC2_1"
8,"spei1","JAN",0.170766335218955,FALSE,-0.0712900949805147,0.347061253552669,"spAC2_1"
9,"spei1","FEB",0.214171106245162,TRUE,0.00908291799291836,0.35773836382196,"spAC2_1"
10,"spei1","MAR",0.0229872319089542,FALSE,-0.15201202863171,0.263489760709359,"spAC2_1"
11,"spei1","APR",-0.00784346163352178,FALSE,-0.160925836965013,0.136223468878161,"spAC2_1"
12,"spei1","MAY",-0.0509683806059995,FALSE,-0.188515894647591,0.101886553156766,"spAC2_1"
13,"spei1","JUN",-0.129256023056625,FALSE,-0.341326092692454,0.0850413698176453,"spAC2_1"
14,"spei1","JUL",0.171973293962368,TRUE,0.011216421753228,0.329139261782308,"spAC2_1"
15,"spei1","AUG",-0.0772244239948165,FALSE,-0.183914673711882,0.0627285892248678,"spAC2_1"
16,"spei1","SEP",0.146460547976434,TRUE,0.0162987090330213,0.279530068594446,"spAC2_1"
1,"spei1","Jun",-0.0431258683214295,FALSE,-0.330492567977167,0.257635050102669,"spAC2_2"
2,"spei1","Jul",-0.0527710704398516,FALSE,-0.298979824453185,0.276579909109094,"spAC2_2"
3,"spei1","Aug",-0.0814151810970277,FALSE,-0.460009058005586,0.293864141648046,"spAC2_2"
4,"spei1","Sep",0.0267149128544522,FALSE,-0.283726375134117,0.449279694088851,"spAC2_2"
5,"spei1","Oct",0.260372354397154,FALSE,-0.166103847881562,0.542747154155927,"spAC2_2"
6,"spei1","Nov",-0.0813794320607694,FALSE,-0.342632804727644,0.147392289830256,"spAC2_2"
7,"spei1","Dec",-0.0257976972173393,FALSE,-0.359835958988773,0.273487988570167,"spAC2_2"
8,"spei1","JAN",0.241935291662518,FALSE,-0.0221337850129459,0.462192039680448,"spAC2_2"
9,"spei1","FEB",0.188040443696735,FALSE,-0.104252870619487,0.420581956506134,"spAC2_2"
10,"spei1","MAR",0.000909207742556802,FALSE,-0.243922801064096,0.271664667442908,"spAC2_2"
11,"spei1","APR",0.0588499965020089,FALSE,-0.281601764162737,0.309489110789789,"spAC2_2"
12,"spei1","MAY",0.0864748241476523,FALSE,-0.155056928965332,0.290230599301027,"spAC2_2"
13,"spei1","JUN",0.11732015110787,FALSE,-0.128932382324009,0.378951680118093,"spAC2_2"
14,"spei1","JUL",0.243288621101255,FALSE,-0.0308712780913786,0.540646203436802,"spAC2_2"
15,"spei1","AUG",-0.0470550597156244,FALSE,-0.254407585255803,0.186343338189444,"spAC2_2"
16,"spei1","SEP",0.0843231823162705,FALSE,-0.116633524729911,0.257721630182236,"spAC2_2"
1,"spei1","Jun",0.275077225174286,FALSE,-0.0667807339221017,0.52795559404654,"spAC2_12"
2,"spei1","Jul",0.264536367873984,TRUE,0.000770195068811462,0.498808444788485,"spAC2_12"
3,"spei1","Aug",0.225023579391312,FALSE,-0.0797795035789924,0.483625813658855,"spAC2_12"
4,"spei1","Sep",0.260183564602916,TRUE,0.0264191228957496,0.498259307731338,"spAC2_12"
5,"spei1","Oct",0.356779183203341,TRUE,0.0175937737739081,0.611309500147257,"spAC2_12"
6,"spei1","Nov",0.120327805373255,FALSE,-0.199720917681273,0.389867109052637,"spAC2_12"
7,"spei1","Dec",-0.0804097188427072,FALSE,-0.341517695227601,0.194887245374992,"spAC2_12"
8,"spei1","JAN",0.172995728389607,FALSE,-0.135769252821065,0.438174095090868,"spAC2_12"
9,"spei1","FEB",0.126525860772153,FALSE,-0.234846778542921,0.448093623280522,"spAC2_12"
10,"spei1","MAR",0.280318321885231,FALSE,-0.0241790948229867,0.55344175672938,"spAC2_12"
11,"spei1","APR",0.271583367357978,FALSE,-0.0479295211052683,0.5282540302606,"spAC2_12"
12,"spei1","MAY",0.314958797235691,TRUE,0.0876880816992508,0.534260103101554,"spAC2_12"
13,"spei1","JUN",0.306882477054055,FALSE,-0.0180062772881452,0.555190562424586,"spAC2_12"
14,"spei1","JUL",0.532247984701987,TRUE,0.207762671253193,0.73483501540887,"spAC2_12"
15,"spei1","AUG",0.0792188215186546,FALSE,-0.207337296654967,0.341921517978189,"spAC2_12"
16,"spei1","SEP",0.14522882936251,FALSE,-0.187280692450245,0.39978678565155,"spAC2_12"
1,"spei1","Jun",0.251126624846954,FALSE,-0.0272231848998216,0.479202014174787,"spPJ1_1"
2,"spei1","Jul",0.318141367407818,TRUE,0.121360825064717,0.509704150454304,"spPJ1_1"
3,"spei1","Aug",0.231982003782425,FALSE,-0.000622180975839832,0.414799367624093,"spPJ1_1"
4,"spei1","Sep",0.0871452650823699,FALSE,-0.144853087467703,0.285249846574402,"spPJ1_1"
5,"spei1","Oct",-0.0172094196035837,FALSE,-0.328541626387472,0.283714425065753,"spPJ1_1"
6,"spei1","Nov",0.183071649077545,FALSE,-0.00457351097167726,0.37949195770466,"spPJ1_1"
