"Region","hilo","Species","Neighborhood","tree.uniqueID","hegyi","DBH","drought_fx","post1_fx","spei12","legacy_mean","scaled_leg","scaled_dfx","scaled_spei","rel_dfx","rel_leg","Region1"
"Mammoth","low","AC",2,"9ac2_1",18.5778430570276,10.3,-0.0512258747444637,-0.0595376209624935,-1.54524753605631,-0.0442034637799061,0.414918901315376,0.337090832774518,0.193667993864244,1.74056035821184,1.23088159324973,"lat4"
"Mammoth","low","AC",2,"9ac2_2",10.3126760879571,9.2,0.00218718143416155,-0.0735398575066745,-1.59648331653535,-0.07267193373157,0.371360443692622,0.408001519670201,0.361301476269017,1.12925505836132,0.91019377573104,"lat4"
"Mammoth","low","PJ",1,"9pj1_1",8.98956124487409,37.5,0.11824950974185,0.152148797804366,-1.54360687417733,0.138580033071346,0.694588557438518,0.562084809633751,0.188300068136361,2.98504836029431,1.23573621904336,"lat4"
"Mammoth","low","PJ",1,"9pj1_2",51.0578902229825,7.5,0.00483356536647512,0.0617093926223179,-1.56046656688189,0.0709984921806176,0.591184767562657,0.411514834875429,0.243461694911916,1.69026521820738,1.4366062106646,"lat4"
"Mammoth","low","PJ",1,"9pj1_3",21.4235319119497,18.9,-0.0408951009078085,0.0384880544426096,-1.54360687417733,0.0540617180613791,0.565270492612455,0.35080587402719,0.188300068136361,1.86301511995815,1.61134842505129,"lat4"
"Mammoth","low","PJ",1,"9pj1_4",9.73123715140702,40.5,0.0147236403290827,0.0743152795369356,-1.54360687417733,0.0724906603220361,0.593467873850573,0.424644808316809,0.188300068136361,2.25514952022904,1.39756300377941,"lat4"
"Mammoth","low","PJ",1,"9pj1_5",10.5371862781911,32.7,0.0678904096220441,0.0838748818400506,-1.54728753234967,0.0797718346961369,0.604608505080725,0.495228526986271,0.200342463923076,2.4719099350621,1.22086768458209,"lat4"
"Mammoth","low","PJ",1,"9pj1_6",38.008481736773,15.2,0.0376904436295581,0.176848102594341,-1.51038829273696,0.168156177309676,0.739841822810248,0.45513532719647,0.0796153475108248,5.71667827154291,1.62554251142733,"lat4"
"Mammoth","low","PJ",1,"9pj1_7",2.93606876514001,113.8,0.0222067247073608,0.0236716231042606,-1.54360687417733,0.017885023256095,0.509917991045536,0.434579282981347,0.188300068136361,2.3079082619696,1.17336010024993,"lat4"
"Mammoth","low","PJ",2,"9pj2_1",1.90515488139977,112.8,0.066361925362734,0.0280837284417743,-1.54360687383841,0.0180178216432835,0.510121180501469,0.493199325205072,0.188300067027475,2.61922012557281,1.03431037803906,"lat4"
"Mammoth","low","PJ",2,"9pj2_2",17.248966272003,16,0.0737877921144891,0.00908562897832273,-1.54728752480216,0.0135199625057731,0.503239187652292,0.503057838269777,0.200342439229086,2.51098988414804,1.00036049409972,"lat4"
"Mammoth","low","PJ",2,"9pj2_3",19.2001247779447,20.1,0.12511718138221,0.131600919189654,-1.54201194690353,0.116811301562386,0.661281099378986,0.571202267952619,0.183081777118042,3.11992966719094,1.15770040926,"lat4"
"Mammoth","low","PJ",2,"9pj2_4",2.64723509752989,64.4,0.000184801313860026,0.0866907060467876,-1.54728752480216,0.0931459330125461,0.625071673482362,0.405343178060202,0.200342439229086,2.02325168656205,1.54208016149103,"lat4"
"Mammoth","low","PJ",2,"9pj2_5",12.4089223775349,18.9,0.0178311180964187,0.103597791411894,-1.54728752480216,0.107011933778639,0.646287481981814,0.428770267497762,0.200342439229086,2.14018691769783,1.5073047992657,"lat4"
"Mammoth","low","PJ",2,"9pj2_6",13.8977908448973,14.7,0.0161305522640777,0.197258509393968,-1.55335880727812,0.195737943487661,0.782043570753298,0.42651261178753,0.22020649154942,1.93687574233846,1.83357666136934,"lat4"
"Mammoth","low","PJ",2,"9pj2_7",4.17045276958066,42.9,-0.0482651831862096,0.0797536881465604,-1.54728752480216,0.0884990359079174,0.617961643651011,0.341021419921225,0.200342439229086,1.70219261197712,1.81209040708868,"lat4"
"Mammoth","low","PJ",2,"9pj2_8",2.50396417409207,59.4,-0.0152529810224535,0.138988685457974,-1.54201194690353,0.145681197042323,0.70545376201141,0.384848118838107,0.183081777118042,2.10205584027064,1.8330705737662,"lat4"
"Mammoth","low","PJ",3,"9pj3_1",4.43077868403159,42.1,0.00392706799727272,0.0293942763332523,-1.5420119479374,0.0334876920963554,0.533791005318318,0.41031137722447,0.183081780500665,2.24113713610612,1.30094127276977,"lat4"
"Mammoth","low","PJ",3,"9pj3_2",5.11969754944437,33.4,0.152494752327136,0.162508023181829,-1.54728753228689,0.156886113962712,0.722597953450989,0.607548481783702,0.200342463717692,3.03254971766652,1.18936673387696,"lat4"
"Mammoth","low","PJ",3,"9pj3_3",1.47382690370481,123.2,0.0614890259977417,0.329455828331814,-1.51055899006087,0.310227255862534,0.957219049794017,0.486730108390562,0.0801738358675319,6.07093452775251,1.96663208889869,"lat4"
"Mammoth","low","PJ",3,"9pj3_4",1.99044900327892,115,-0.0995193000445688,-0.0291331471492757,-1.51255078575205,-0.00254230572355725,0.478662958891825,0.272976921203469,0.0866906029554655,3.14886402790049,1.75349240800853,"lat4"
"Mammoth","low","PJ",3,"9pj3_5",4.77713653833976,50.5,-0.00379764521580425,0.139448533939703,-1.54728753228689,0.139481455818911,0.695967788026487,0.400056118319613,0.200342463717692,1.99686132882614,1.73967540091579,"lat4"
"Mammoth","low","PJ",3,"9pj3_6",10.7533913006967,21.9,0.116607859168875,0.0727628385707558,-1.59314412523443,0.0754441320559251,0.597986861824954,0.559905369285252,0.35037629349722,1.59801156549906,1.06801415851453,"lat4"
