"Year","zeroRing","raw_growth","BAI","spline_growth","fss_growth","Site","Species","Neighborhood","ID","label","siteno","Region","hilo","tree.uniqueID","hegyi","DBH","prev3","next3","Name","Longitude","Latitude","Date","Month","hydroyear","total_ppt_mm","mean_temp_C","spei1","spei6","spei12","spi12","spei_prev3","spei_next3","cutoff","droughtyear","reduction","resistance","recovery","resilience","rel_res","drought_fx3"
1981,"no",1.61,20.1306974056727,1.17923213616249,1.17483645487947,"sp","AC",2,2,"12AC2_2A",12,"San Jac","low","12ac2_2",16.9997386324622,14,NA,NA,"sp2",-116.7395554,33.806522,"1981-09",9,1981,391,12.725,0.279618665360066,-1.54046989475559,-1.61475745886298,-1.34176488172819,1.51366640565624,0.835398926321703,-1.12835294054579,"yes",NA,NA,NA,NA,NA,NA
2000,"no",1.49,278.751945356696,0.903944267689156,0.956599897277863,"sp","AC",2,2,"12AC2_2A",12,"San Jac","low","12ac2_2",16.9997386324622,14,297.785284448469,246.904913768909,"sp2",-116.7395554,33.806522,"2000-09",9,2000,418,12.5583333333333,0.706614725935,-0.580523114505251,-1.44307758618798,-1.17944354923992,0.332734067533459,-1.22499735818472,-1.12835294054579,"yes","yes",0.93608368147867,0.885751356651395,0.829137390808965,-0.106946290669705,0.0682805605801884
2001,"no",1.38,270.615534543163,0.823776812037202,0.857782197911487,"sp","AC",2,2,"12AC2_2A",12,"San Jac","low","12ac2_2",16.9997386324622,14,310.948871826276,355.988550523915,"sp2",-116.7395554,33.806522,"2001-09",9,2001,428,11.5,-0.550403066370389,-1.48134017038228,-1.1814329475062,-1.12015102350353,-0.201366454066063,-1.30826931765147,-1.12835294054579,"yes","yes",0.87028948828074,1.31547714407775,1.14484593056444,0.274556442283696,0.14904294888762
2002,"no",0.73,147.990690973389,0.429509876514593,0.431697220579539,"sp","AC",2,2,"12AC2_2A",12,"San Jac","low","12ac2_2",16.9997386324622,14,304.774254725217,560.966056717341,"sp2",-116.7395554,33.806522,"2002-09",9,2002,229,12.325,-0.849678836405076,-2.01509083021053,-2.31820081537228,-2.40589869486372,-1.1996551495658,-0.0278115424703326,-1.12835294054579,"yes","yes",0.485574777655734,3.79054961516607,1.84059528657729,1.35502050892156,1.05941503969341
2004,"no",2.68,597.86644480818,1.55025199782081,1.3679052674561,"sp","AC",2,2,"12AC2_2A",12,"San Jac","low","12ac2_2",16.9997386324622,14,246.904913768909,543.567131203597,"sp2",-116.7395554,33.806522,"2004-09",9,2004,410,12.225,0.830267285068698,-1.02303781785049,-1.43124882590646,-1.22719854344586,-1.22499735818472,-0.409628404971173,-1.12835294054579,"yes","no",2.42144409231059,0.909178188412959,2.2015241531902,-0.219919939120386,-0.587023296067191
2007,"no",1.095,294.278560188715,0.661766912073403,0.590886379935431,"sp","AC",2,2,"12AC2_2A",12,"San Jac","low","12ac2_2",16.9997386324622,14,644.763092743419,377.690227515954,"sp2",-116.7395554,33.806522,"2007-09",9,2007,217,11.8916666666667,0.0786710337485681,-1.75543670288847,-2.26713257908375,-2.49457904573518,-0.13100048724541,-0.449100107627004,-1.12835294054579,"yes","yes",0.456413469537442,1.28344459505901,0.58578140058996,0.129367931052518,1.19099581134944
2014,"no",1.145,371.924593418516,0.904291563829244,0.876292177975235,"sp","AC",2,2,"12AC2_2A",12,"San Jac","low","12ac2_2",16.9997386324622,14,NA,NA,"sp2",-116.7395554,33.806522,"2014-09",9,2014,415,12.4,0.836963691737709,-0.24264527977786,-1.34914456505738,-1.19731825297741,-0.332495267298588,-0.550807092509066,-1.12835294054579,"yes",NA,NA,NA,NA,NA,NA
2015,"no",1.455,484.504979876598,1.19901530953753,1.10734511549557,"sp","AC",2,2,"12AC2_2A",12,"San Jac","low","12ac2_2",16.9997386324622,14,NA,NA,"sp2",-116.7396,33.8065,"2015-09",9,2015,462.294,12.9166666666667,0.866817698524489,0.834475191362595,-1.26380987655436,-0.920251132739289,-1.10419154403165,-0.879071658418698,-1.12835294054579,"yes",NA,NA,NA,NA,NA,NA
1981,"no",1.69,30.2629620320304,0.902399118469686,0.893165655532816,"sp","AC",2,12,"12AC212A",12,"San Jac","low","12ac2_12",6.07168105441408,17.9,NA,NA,"sp2",-116.7395554,33.806522,"1981-09",9,1981,391,12.725,0.279618665360066,-1.54046989475559,-1.61475745886298,-1.34176488172819,1.51366640565624,0.835398926321703,-1.12835294054579,"yes",NA,NA,NA,NA,NA,NA
2000,"no",1.895,516.241977181695,0.933799201106584,0.982308673163876,"sp","AC",2,12,"12AC212A",12,"San Jac","low","12ac2_12",6.07168105441408,17.9,590.397936592803,391.466085122007,"sp2",-116.7395554,33.806522,"2000-09",9,2000,418,12.5583333333333,0.706614725935,-0.580523114505251,-1.44307758618798,-1.17944354923992,0.332734067533459,-1.22499735818472,-1.12835294054579,"yes","yes",0.874396648743281,0.758299600623581,0.663054629528627,-0.211342019214653,0.143645737248926
2001,"no",1.84,522.848982151641,0.920163602084593,0.979736319028922,"sp","AC",2,12,"12AC212A",12,"San Jac","low","12ac2_12",6.07168105441408,17.9,642.42721388572,423.85799977562,"sp2",-116.7395554,33.806522,"2001-09",9,2001,428,11.5,-0.550403066370389,-1.48134017038228,-1.1814329475062,-1.12015102350353,-0.201366454066063,-1.30826931765147,-1.12835294054579,"yes","yes",0.81386493419105,0.810670029482222,0.659775910195205,-0.154089023995845,0.228705105711381
2002,"no",0.615,179.499844271282,0.311138142847642,0.328197080448052,"sp","AC",2,12,"12AC212A",12,"San Jac","low","12ac2_12",6.07168105441408,17.9,611.652303150849,676.354320149388,"sp2",-116.7395554,33.806522,"2002-09",9,2002,229,12.325,-0.849678836405076,-2.01509083021053,-2.31820081537228,-2.40589869486372,-1.1996551495658,-0.0278115424703326,-1.12835294054579,"yes","yes",0.293467127233253,3.7679939104972,1.105782348346,0.812315221112752,2.4075366785636
2004,"no",2,620.024726112482,1.02073700866001,1.05842921241249,"sp","AC",2,12,"12AC212A",12,"San Jac","low","12ac2_12",6.07168105441408,17.9,391.466085122007,770.147616019862,"sp2",-116.7395554,33.806522,"2004-09",9,2004,410,12.225,0.830267285068698,-1.02303781785049,-1.43124882590646,-1.22719854344586,-1.22499735818472,-0.409628404971173,-1.12835294054579,"yes","no",1.5838529815916,1.24212403729226,1.96734185997194,0.383488878380336,-0.36862826813944
2007,"no",1.185,421.32645205548,0.601770669366091,0.585373618070151,"sp","AC",2,12,"12AC212A",12,"San Jac","low","12ac2_12",6.07168105441408,17.9,836.380374038862,665.43927535351,"sp2",-116.7395554,33.806522,"2007-09",9,2007,217,11.8916666666667,0.0786710337485681,-1.75543670288847,-2.26713257908375,-2.49457904573518,-0.13100048724541,-0.449100107627004,-1.12835294054579,"yes","yes",0.503749807065539,1.57939116356712,0.795617993927952,0.291868186862413,0.985112422822026
2014,"no",1.89,833.284203579058,0.868839824069967,0.849434620168842,"sp","AC",2,12,"12AC212A",12,"San Jac","low","12ac2_12",6.07168105441408,17.9,NA,NA,"sp2",-116.7395554,33.806522,"2014-09",9,2014,415,12.4,0.836963691737709,-0.24264527977786,-1.34914456505738,-1.19731825297741,-0.332495267298588,-0.550807092509066,-1.12835294054579,"yes",NA,NA,NA,NA,NA,NA
2015,"no",2.505,1139.01952385689,1.12911052266446,1.09076617410698,"sp","AC",2,12,"12AC212A",12,"San Jac","low","12ac2_12",6.07168105441408,17.9,NA,NA,"sp2",-116.7396,33.8065,"2015-09",9,2015,462.294,12.9166666666667,0.866817698524489,0.834475191362595,-1.26380987655436,-0.920251132739289,-1.10419154403165,-0.879071658418698,-1.12835294054579,"yes",NA,NA,NA,NA,NA,NA
1959,"no",4.75,952.95500757666,1.06836276464638,1.1153765290571,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,653.63340578077,743.265426562114,"sp1",-116.7385843,33.80615523,"1959-09",9,1959,345,12.3833333333333,0.2150250906595,-1.42196205434925,-1.71746086409319,-1.62616151075096,0.00302235992211862,-0.948851135196385,-1.12835093429297,"yes","no",1.45793498182417,0.7799585716562,1.13712888599119,-0.320806095832984,-0.314098356602435
1961,"no",1.745,433.9887983254,0.398421428191136,0.440581885833422,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,906.285077911258,1030.77854079139,"sp1",-116.7385843,33.80615523,"1961-09",9,1961,264,11.6833333333333,-0.0694801372013125,-1.23107859459788,-1.89488936111648,-2.15789422510188,-0.398290363426845,-0.296827057153286,-1.12835093429297,"yes","yes",0.478865655965148,2.3751270649583,1.13736677996183,0.658501123996686,1.08826836408744
1981,"no",3.355,2655.08962078551,0.814921226042298,0.793512024468375,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,3682.32295280714,3637.25167492339,"sp1",-116.7385843,33.80615523,"1981-09",9,1981,391,12.725,0.279618175768691,-1.54047285037995,-1.6147575187131,-1.34176488172819,1.51366609377085,0.835399101231273,-1.12835093429297,"yes","yes",0.721036599671809,1.36991672388343,0.987760096422453,0.266723496750644,0.386892150072778
2000,"no",2.34,2862.09206670371,0.755707405713053,0.859847807851216,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,3399.99681748846,3037.18056511068,"sp1",-116.7385843,33.80615523,"2000-09",9,2000,418,12.5583333333333,0.706614525866864,-0.580528128849531,-1.44307790760676,-1.17944354923992,0.332733963901793,-1.22499935710673,-1.12835093429297,"yes","yes",0.841792572270083,1.06117500566941,0.893289237651173,0.0514966653810904,0.187941106801733
2001,"no",2.34,2896.49627617178,0.760597907178678,0.878668004539763,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,3288.93460568021,2896.56999887934,"sp1",-116.7385843,33.80615523,"2001-09",9,2001,428,11.5,-0.550403753568443,-1.48134343649421,-1.18143617710413,-1.12015102350353,-0.201366440992073,-1.30827080139035,-1.12835093429297,"yes","yes",0.880679193550803,1.00002545237436,0.880701608927331,2.24153765281399e-05,0.135487254976592
2002,"no",1.12,1398.531491865,0.365221041696937,0.423327946309277,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,3225.54710958775,4070.76619747786,"sp1",-116.7385843,33.80615523,"2002-09",9,2002,229,12.325,-0.849679322600994,-2.01509185755198,-2.31820233764643,-2.40589869486372,-1.19965624051139,-0.0278128935164801,-1.12835093429297,"yes","yes",0.433579620557376,2.91074331980135,1.26203898413939,0.828459363582011,1.30638146394999
2004,"no",1.93,2474.66457747775,0.627120839564768,0.707830514771625,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,3037.18056511068,3453.34797225026,"sp1",-116.7385843,33.80615523,"2004-09",9,2004,410,12.225,0.830266985104659,-1.02304079554742,-1.43125050995499,-1.22719854344586,-1.22499935710673,-0.409629848566356,-1.12835093429297,"yes","yes",0.814790074026293,1.39548123154937,1.13702425595641,0.322234181930122,0.227309992939028
2007,"no",1.37,1826.95425194625,0.432892384187517,0.450406110567279,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,3669.25141409409,4676.32517223755,"sp1",-116.7385843,33.80615523,"2007-09",9,2007,217,11.8916666666667,0.0786711129500173,-1.75543903144676,-2.26713505952163,-2.49457904573518,-0.131001665377479,-0.449100346035968,-1.12835093429297,"yes","yes",0.497909258801038,2.55962904777493,1.27446300198322,0.776553743182187,1.00839808122466
2014,"no",4.255,6332.37424437443,1.18889624584279,1.06373538825015,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,NA,NA,"sp1",-116.7385843,33.80615523,"2014-09",9,2014,415,12.4,0.836963209180412,-0.242647246415998,-1.3491432453718,-1.19731825297741,-0.332495679704986,-0.550807394353619,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
2015,"no",4.3,6514.91232290104,1.17927700186445,1.042854858483,"sp","PJ",1,1,"12PJ1_1A",12,"San Jac","low","12pj1_1",1.12352023694262,80.2,NA,NA,"sp1",-116.7386,33.8062,"2015-09",9,2015,462.294,12.9166666666667,0.866817172345146,0.834472768214436,-1.26380757656322,-0.920251132739289,-1.10419180924644,-0.87907214336127,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
1959,"no",4.7,524.470043960896,1.05880028270461,1.06696107311942,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,248.676012807309,489.060420123998,"sp1",-116.7385843,33.80615523,"1959-09",9,1959,345,12.3833333333333,0.2150250906595,-1.42196205434925,-1.71746086409319,-1.62616151075096,0.00302235992211862,-0.948851135196385,-1.12835093429297,"yes","no",2.1090495944508,0.932484945051431,1.9666569951922,-0.142392599258602,-0.525852780972464
1961,"no",1.675,258.71447471302,0.393063082708691,0.390485377781059,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,482.763752148347,873.116142674655,"sp1",-116.7385843,33.80615523,"1961-09",9,1961,264,11.6833333333333,-0.0694801372013125,-1.23107859459788,-1.89488936111648,-2.15789422510188,-0.398290363426845,-0.296827057153286,-1.12835093429297,"yes","yes",0.535902858409968,3.37482525337309,1.80857849991678,1.27267564150682,0.866009826794012
1981,"no",2.5,1497.83283741527,0.87811256009025,0.857115661765208,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,1888.21303103657,1875.94432632613,"sp1",-116.7385843,33.80615523,"1981-09",9,1981,391,12.725,0.279618175768691,-1.54047285037995,-1.6147575187131,-1.34176488172819,1.51366609377085,0.835399101231273,-1.12835093429297,"yes","yes",0.793254157658795,1.25243904357401,0.99350247852929,0.200248320870495,0.260630014157623
2000,"no",1.76,1574.93820254938,0.86242740665753,0.932338387794507,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,2099.77633644953,1322.2749850659,"sp1",-116.7385843,33.80615523,"2000-09",9,2000,418,12.5583333333333,0.706614525866864,-0.580528128849531,-1.44307790760676,-1.17944354923992,0.332733963901793,-1.22499935710673,-1.12835093429297,"yes","yes",0.750050457856101,0.839572614928963,0.629721824230913,-0.120328633625188,0.333243636512588
2001,"no",1.57,1421.3410253264,0.786250994942588,0.885819937054089,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,1916.60690251934,1356.86300388407,"sp1",-116.7385843,33.80615523,"2001-09",9,2001,428,11.5,-0.550403753568443,-1.48134343649421,-1.18143617710413,-1.12015102350353,-0.201366440992073,-1.30827080139035,-1.12835093429297,"yes","yes",0.741592354414499,0.954635783887596,0.707950598581533,-0.033641755832966,0.348449716407229
2002,"no",0.915,835.504445647157,0.468045391279435,0.540274912038035,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,1584.52969436031,1753.79428212608,"sp1",-116.7385843,33.80615523,"2002-09",9,2002,229,12.325,-0.849679322600994,-2.01509185755198,-2.31820233764643,-2.40589869486372,-1.19965624051139,-0.0278128935164801,-1.12835093429297,"yes","yes",0.527288600914772,2.09908432117036,1.10682323491205,0.579534633997279,0.896494629819686
2004,"no",1.635,1525.10508178089,0.870151480323113,0.964374254685742,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,1322.2749850659,1540.94072461028,"sp1",-116.7385843,33.80615523,"2004-09",9,2004,410,12.225,0.830266985104659,-1.02304079554742,-1.43125050995499,-1.22719854344586,-1.22499935710673,-0.409629848566356,-1.12835093429297,"yes","no",1.1533947923131,1.01038331261142,1.16537085100606,0.0119760586929656,-0.132994177999944
2007,"no",0.855,825.681942056445,0.479352789460623,0.495227799218918,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,1774.08177118509,1755.27617138077,"sp1",-116.7385843,33.80615523,"2007-09",9,2007,217,11.8916666666667,0.0786711129500173,-1.75543903144676,-2.26713505952163,-2.49457904573518,-0.131001665377479,-0.449100346035968,-1.12835093429297,"yes","yes",0.465413689192514,2.12585026022136,0.98939981228049,0.523986123087975,1.14862610022276
2014,"no",1.3,1356.11559281185,0.806902110289079,0.792692144566445,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,NA,NA,"sp1",-116.7385843,33.80615523,"2014-09",9,2014,415,12.4,0.836963209180412,-0.242647246415998,-1.3491432453718,-1.19731825297741,-0.332495679704986,-0.550807394353619,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
2015,"no",1.785,1879.35091232005,1.12446754165073,1.10787356400739,"sp","PJ",1,2,"12PJ1_2A",12,"San Jac","low","12pj1_2",0.947025307804935,42.7,NA,NA,"sp1",-116.7386,33.8062,"2015-09",9,2015,462.294,12.9166666666667,0.866817172345146,0.834472768214436,-1.26380757656322,-0.920251132739289,-1.10419180924644,-0.87907214336127,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
1959,"no",0.855,2.29658276959048,1.08054254636585,1.11759348900259,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,NA,NA,"sp1",-116.7385843,33.80615523,"1959-09",9,1959,345,12.3833333333333,0.2150250906595,-1.42196205434925,-1.71746086409319,-1.62616151075096,0.00302235992211862,-0.948851135196385,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
1961,"no",0.59,8.3409284952809,0.765368117201353,0.778726551421468,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,NA,NA,"sp1",-116.7385843,33.80615523,"1961-09",9,1961,264,11.6833333333333,-0.0694801372013125,-1.23107859459788,-1.89488936111648,-2.15789422510188,-0.398290363426845,-0.296827057153286,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
1981,"no",0.495,49.2107712638103,0.799003130281635,0.797166798815727,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,68.3729941941975,70.7461532847192,"sp1",-116.7385843,33.80615523,"1981-09",9,1981,391,12.725,0.279618175768691,-1.54047285037995,-1.6147575187131,-1.34176488172819,1.51366609377085,0.835399101231273,-1.12835093429297,"yes","yes",0.719739889173766,1.43761521040712,1.03470901221294,0.314969123039175,0.389390827216708
2000,"no",0.25,38.814377235102,0.790237585739933,0.803365575217912,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,47.2283215796399,38.7962345375274,"sp1",-116.7385843,33.80615523,"2000-09",9,2000,418,12.5583333333333,0.706614525866864,-0.580528128849531,-1.44307790760676,-1.17944354923992,0.332733963901793,-1.22499935710673,-1.12835093429297,"yes","yes",0.821845366019419,0.999532577903682,0.821461217335585,-0.000384148683834074,0.216773910697419
2001,"no",0.21,32.9075547278226,0.692960352244932,0.695940122824836,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,48.9686330100349,38.5796740839401,"sp1",-116.7385843,33.80615523,"2001-09",9,2001,428,11.5,-0.550403753568443,-1.48134343649421,-1.18143617710413,-1.12015102350353,-0.201366440992073,-1.30827080139035,-1.12835093429297,"yes","yes",0.672012933689185,1.17236526393503,0.787844620372273,0.115831686683088,0.488066597930262
2002,"no",0.09,14.1880607421419,0.310096045829946,0.30859229292555,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,46.3604827890245,57.5265408379237,"sp1",-116.7385843,33.80615523,"2002-09",9,2002,229,12.325,-0.849679322600994,-2.01509185755198,-2.31820233764643,-2.40589869486372,-1.19965624051139,-0.0278128935164801,-1.12835093429297,"yes","yes",0.306037812563524,4.05457390431492,1.24085292855368,0.934815115990159,2.26757008104164
2004,"no",0.2,32.2578733670604,0.753598962347891,0.742359966971196,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,38.7962345375274,58.3875466645174,"sp1",-116.7385843,33.80615523,"2004-09",9,2004,410,12.225,0.830266985104659,-1.02304079554742,-1.43125050995499,-1.22719854344586,-1.22499935710673,-0.409629848566356,-1.12835093429297,"yes","yes",0.831469181264422,1.81002467212047,1.50497973219641,0.673510550931993,0.202690397350977
2007,"no",0.23,38.6067179606996,1.01306782690564,1.00937927383315,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,56.2712651333043,35.5294494166921,"sp1",-116.7385843,33.80615523,"2007-09",9,2007,217,11.8916666666667,0.0786711129500173,-1.75543903144676,-2.26713505952163,-2.49457904573518,-0.131001665377479,-0.449100346035968,-1.12835093429297,"yes","yes",0.686082281413825,0.920291889428671,0.631395959065863,-0.0546863223479628,0.457551123371496
2014,"no",0.12,21.0624937867277,0.930631834582961,0.963697450640812,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,NA,NA,"sp1",-116.7385843,33.80615523,"2014-09",9,2014,415,12.4,0.836963209180412,-0.242647246415998,-1.3491432453718,-1.19731825297741,-0.332495679704986,-0.550807394353619,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
2015,"no",0.105,18.5039021898277,0.915520100490627,0.952330335031718,"sp","PL",1,1,"12PL1_1A",12,"San Jac","low","12pl1_1",9.30379184255934,8.7,NA,NA,"sp1",-116.7386,33.8062,"2015-09",9,2015,462.294,12.9166666666667,0.866817172345146,0.834472768214436,-1.26380757656322,-0.920251132739289,-1.10419180924644,-0.87907214336127,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
1981,"no",0.605,1.14990145103022,0.592150294138525,0.628752886836027,"sp","PL",1,2,"12PL1_2A",12,"San Jac","low","12pl1_2",12.5011328060636,8.3,NA,NA,"sp1",-116.7385843,33.80615523,"1981-09",9,1981,391,12.725,0.279618175768691,-1.54047285037995,-1.6147575187131,-1.34176488172819,1.51366609377085,0.835399101231273,-1.12835093429297,"yes",NA,NA,NA,NA,NA,NA
2000,"no",0.465,66.2272078719792,0.584089875919904,0.615099243166346,"sp","PL",1,2,"12PL1_2A",12,"San Jac","low","12pl1_2",12.5011328060636,8.3,104.848377158886,89.4652545713176,"sp1",-116.7385843,33.80615523,"2000-09",9,2000,418,12.5583333333333,0.706614525866864,-0.580528128849531,-1.44307790760676,-1.17944354923992,0.332733963901793,-1.22499935710673,-1.12835093429297,"yes","yes",0.631647429045274,1.35088368430478,0.853282206130319,0.221634777085046,0.583161672187103
