"id","varname","month","coef","significant","ci_lower","ci_upper","tree.uniqueID"
1,"spei1","Oct",0.264542266228746,FALSE,-0.0946060274369551,0.545561611169814,"12ac2_1"
2,"spei1","Nov",-0.0792407863753135,FALSE,-0.262139418998615,0.0941917352288992,"12ac2_1"
3,"spei1","Dec",-0.100350740241713,FALSE,-0.339478681117781,0.0948182373438267,"12ac2_1"
4,"spei1","JAN",0.315789789389879,TRUE,0.091981872560235,0.485146170789243,"12ac2_1"
5,"spei1","FEB",0.134866803205643,FALSE,-0.162419607422423,0.321441726707208,"12ac2_1"
6,"spei1","MAR",0.054162598101835,FALSE,-0.117205108513136,0.212234815364487,"12ac2_1"
7,"spei1","APR",0.105249498608471,FALSE,-0.0860483529074529,0.311002901393206,"12ac2_1"
8,"spei1","MAY",0.0933816113938046,FALSE,-0.0919198832638,0.261694114608763,"12ac2_1"
9,"spei1","JUN",0.0674419939452998,FALSE,-0.119981051412988,0.247617884850694,"12ac2_1"
10,"spei1","JUL",0.207927986832124,FALSE,-0.013684057496228,0.387496261667396,"12ac2_1"
11,"spei1","AUG",-0.07917033459076,FALSE,-0.258400582259635,0.129357821962691,"12ac2_1"
12,"spei1","SEP",0.0322688221357081,FALSE,-0.169122912907968,0.205026140444842,"12ac2_1"
13,"tmean_C","Oct",-0.106587459096862,FALSE,-0.286734197659089,0.120217375740775,"12ac2_1"
14,"tmean_C","Nov",-0.0728742185761976,FALSE,-0.282994799625815,0.174790341455017,"12ac2_1"
15,"tmean_C","Dec",0.130505847101182,FALSE,-0.0713539286144237,0.313293088681463,"12ac2_1"
16,"tmean_C","JAN",0.0208686928934433,FALSE,-0.162050868185792,0.241793952458337,"12ac2_1"
17,"tmean_C","FEB",0.0199128779649626,FALSE,-0.181021830523511,0.284381021566266,"12ac2_1"
18,"tmean_C","MAR",-0.0106907634835847,FALSE,-0.194231182497679,0.189880138233094,"12ac2_1"
19,"tmean_C","APR",-0.00722475179026389,FALSE,-0.202885810414793,0.196732786705552,"12ac2_1"
20,"tmean_C","MAY",0.0653921418175337,FALSE,-0.16791978484459,0.243621562910915,"12ac2_1"
21,"tmean_C","JUN",-0.067229041685405,FALSE,-0.261231588841475,0.126537752232318,"12ac2_1"
22,"tmean_C","JUL",-0.0751442670118686,FALSE,-0.401549106864125,0.181186347268333,"12ac2_1"
23,"tmean_C","AUG",-0.0694256222755551,FALSE,-0.355414335087837,0.166055685413241,"12ac2_1"
24,"tmean_C","SEP",-0.0470247216837692,FALSE,-0.220713003735805,0.19923245744915,"12ac2_1"
1,"spei1","Oct",0.292655391901964,FALSE,-0.00911865968577578,0.46933608307381,"12ac2_2"
