"","tree.uniqueID","Year","leg2_mean","leg2_50","leg2_025","leg2_975","pred_mean","pred_50","pred_025","pred_975","leg1_mean","leg1_50","leg1_025","leg1_975","Site","Species","Neighborhood","Region","hilo","hegyi","DBH","reduction","spei12","post1","post2","spei_post1","spei_post2","Year_post1","Year_post2","drought_fx"
"1","10ac1_1",1959,0.340672003139777,0.341077368940283,0.318490554409624,0.36138789117834,0.806245546913187,0.806674359337026,0.782919573708242,0.829348064924776,0.230136137215582,0.230564949639421,0.206810164010638,0.253238655227171,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"no",-1.57518131114403,0.576109409697605,0.477950308482775,-1.33733898536395,-1.24838936836364,1960,1961,-0.278063357569926
"2","10ac1_1",1960,0.23263957442324,0.231878143763695,0.221315875640991,0.247547085404275,0.819145838781385,0.81889318549914,0.797693976971741,0.84218387387887,0.34119553029861,0.340942877016365,0.319743668488966,0.364233565396095,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"yes",-1.33733898536395,0.477950308482775,0.742265563906506,-1.24838936836364,-0.194995633816734,1961,1962,0.259129390918454
"3","10ac1_1",1968,-0.258677176289595,-0.259372311027629,-0.270002133128528,-0.244250312209177,1.12806364640736,1.12762219016088,1.11056052114109,1.14852172443003,-0.39519223868256,-0.395633694929044,-0.412695363948828,-0.37473416065989,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"no",-1.51086091961417,1.52325588508992,1.22543434985333,0.842066107496866,-0.249092479570667,1969,1970,-0.824592643267479
"4","10ac1_1",1977,-0.718883655195476,-0.71915037993144,-0.731715985682617,-0.703792073026224,1.10125091100187,1.10097022525803,1.08505202651286,1.11945807983887,0.533372370010215,0.533091684266372,0.517173485521203,0.551579538847216,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"yes",-1.95712685884876,0.567878540991654,1.64954900543265,0.659049250066537,-0.493186321902175,1978,1979,0.454760441774799
"5","10ac1_1",1987,0.17034453330649,0.169881264093378,0.15830732196139,0.185579948456975,0.864540497254656,0.864558236997527,0.847279302826623,0.881435592884434,0.17065533022933,0.170673069972201,0.153394135801297,0.187550425859108,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"no",-1.44503741033721,0.693885167025326,0.769057833011822,-0.942350057055008,-0.433219802467772,1988,1989,-0.117139415346533
"6","10ac1_1",1994,-0.153883631971435,-0.154569021249137,-0.166087070304104,-0.137587601939825,1.20586839367354,1.20563073859168,1.17967143602024,1.23243493144165,0.499583596364497,0.499345941282641,0.473386638711196,0.526150134132613,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"no",-1.53895132603078,0.706284797309041,1.2110492087296,1.3668932209129,0.363502655145601,1995,1996,-0.0239465881746311
"7","10ac1_1",2007,-0.0934779074455599,-0.0939278465326887,-0.104308051525218,-0.0793827676422546,0.928782023182167,0.928520035972527,0.915714404651045,0.943327342971811,-0.0597283858952912,-0.0599903731049309,-0.0727960044264126,-0.0451830661056469,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"no",-1.39332607063783,0.988510409077458,1.08566602299755,-0.504548595632735,-0.0771853841341844,2008,2009,-0.80788327773633
"8","10ac1_1",2012,0.456688874073672,0.456583348902465,0.431154334378894,0.48146038327365,0.801934084803051,0.801805720096362,0.780171224598518,0.824598745151164,0.415460716607557,0.415332351900868,0.393697856403024,0.43812537695567,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"no",-1.42493918258355,0.386473368195494,0.318333630774875,-1.36140365486904,-1.54921500174006,2013,2014,-0.199625965019928
"9","10ac1_1",2013,0.301650983978291,0.301263660628018,0.271455501801118,0.331630722696748,0.774507154131108,0.774097052336028,0.748469880685748,0.800664372560795,0.456173523356233,0.455763421561153,0.430136249910873,0.48233074178592,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"yes",-1.36140365486904,0.318333630774875,0.432557396120353,-1.54921500174006,-1.82405314854576,2014,2015,0.50299933507581
"10","10ac1_1",2014,NA,NA,NA,NA,0.733750625164846,0.733718213802738,0.703087219537857,0.762853507346831,0.301193229044493,0.301160817682386,0.270529823417504,0.330296111226478,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"yes",-1.54921500174006,0.432557396120353,NA,-1.82405314854576,NA,2015,2016,0.590626316888116
"11","10ac1_1",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sl","AC",1,"Mammoth","high",2.7872259643366,50.6,"yes",-1.82405314854576,NA,NA,NA,NA,2016,2017,0.443735762457647
"12","10ac1_2",1924,-0.0275604885143432,-0.0282862656845339,-0.0384343995380216,-0.0136485680846068,1.17018839137935,1.16990942338216,1.14879817537282,1.19141950719933,0.309717567971448,0.309438599974259,0.288327351964918,0.330948683791427,"sl","AC",1,"Mammoth","high",0.792873781442952,187.7,"yes",-1.75645984309405,0.860470823407906,1.01757817889428,1.12665505846153,-0.0902027465608272,1925,1926,0.029895598579345
"13","10ac1_2",1934,0.323701034953155,0.32377445085585,0.297035595370962,0.35099848778429,1.03652992359797,1.03594757770444,1.02518376369053,1.05146349571176,0.307490718339576,0.306908372446046,0.29614455843213,0.322424290453363,"sl","AC",1,"Mammoth","high",0.792873781442952,187.7,"no",-1.5801073545413,0.729039205258395,0.900353214877037,0.225105622523544,1.49048368589492,1935,1936,-0.23242638705144
