"event","spei12","spei_post","tree.uniqueID","Year","year_post","pred_mean","pred_50","pred_025","pred_975","Site","Species","Neighborhood","Region","hilo","hegyi","DBH","reduction","post1","post2","drought_fx","legacy_mean","legacy_50","legacy_025","legacy_975","scaled_leg","scaled_dfx","scaled_spei","Region1","rel_dfx","rel_leg"
"post1",-2.33733852159434,-0.201209301429857,NA,2015,2016,0.977350040534652,0.977475289915462,0.966013479847611,0.988463964107338,NA,NA,2,NA,NA,10.8379478769762,34.7777777777778,NA,1.10644199618479,1.42623288369154,0.343213111124594,-0.129091955650134,-0.128966706269324,-0.140428516337175,-0.117978032077448,0.598242789138411,0.810681020107757,1,NA,0.810681020107757,0.736956082383028
"post1",-2.31820301012403,-0.175360106511971,NA,2002,2003,0.973760314323387,0.973761359579416,0.962497847110937,0.985074047295213,NA,NA,3,NA,NA,9.38848586916857,40.0428571428571,NA,1.18482504494338,0.731433070709038,0.507194161420576,-0.211064730619989,-0.211063685363961,-0.222327197832439,-0.199750997648164,0.567868780069683,0.864416065534496,0.984080829690768,NA,0.878399456075295,0.658524442269806
"post1",-2.31820233764643,-0.175359556569619,NA,2002,2003,0.972380753756131,0.972496240208704,0.961092868474645,0.982947252621983,NA,NA,1,NA,NA,4.25121135043515,49.67,NA,1.01193295456582,0.652911927959285,0.585549716758118,-0.0395522008096919,-0.0394367143571197,-0.0508400860911777,-0.0289857019438397,0.631420650038392,0.890092442883588,0.984080270244763,NA,0.904491706415577,0.709717533427739
"post1",-2.31820081537228,-0.175358311675663,NA,2002,2003,0.976001909744821,0.976054057580464,0.964466847485801,0.987320041505123,NA,NA,2,NA,NA,8.26935778876777,38.6888888888889,NA,1.07583460631643,0.924911914851354,0.671027878931943,-0.0998326965716101,-0.0997805487359668,-0.11136775883063,-0.088514564811308,0.609084449688785,0.918102831395639,0.984079003837984,NA,0.932956427090678,0.667288430772187
"post1",-2.26713615527495,-0.546015280150899,NA,2007,2008,0.92805043825072,0.928143738720272,0.913878528175619,0.941909908754932,NA,NA,3,NA,NA,8.61788430617391,38.025,NA,0.88041503555727,0.763380516637173,0.603761638727064,0.0476354026934495,0.0477287031630016,0.0334634926183483,0.0614948731976613,0.663726950032005,0.896060318150536,0.941597410276521,NA,0.951638469234307,0.740875509585758
"post1",-2.26713505952163,-0.54601435169551,NA,2007,2008,0.927723337068412,0.927909523781566,0.913537902985688,0.941142227440547,NA,NA,1,NA,NA,4.25121135043515,49.67,NA,0.980192507430372,0.816605859321796,0.445405060965433,-0.052469170361959,-0.0522829836488051,-0.0666546044446834,-0.0390502799898248,0.626634424972016,0.844168359388929,0.941596498699961,NA,0.896528779104905,0.73828770739092
"post1",-2.26713257908375,-0.546012249969537,NA,2007,2008,0.935409743579675,0.935574373815976,0.919142617557675,0.951339884571774,NA,NA,2,NA,NA,8.24405090708236,37.4111111111111,NA,0.947197040078859,0.881939200244572,0.430545974880299,-0.0117872964991841,-0.0116226662628834,-0.0280544225211838,0.00414284449291478,0.641708595708522,0.839299176856293,0.941594435179834,NA,0.891359533891039,0.766738916018275
"post1",-2.26458368042433,-0.118263562976157,NA,2015,2016,0.986278530237476,0.986335378240093,0.975543125362012,0.996953690268757,NA,NA,3,NA,NA,4.14772395894944,38.28,NA,0.934282992689392,1.0924565722838,0.240135835645052,0.0519955375480835,0.0520523855507011,0.0412601326726195,0.062670697579365,0.665342544668934,0.77690356795484,0.939473961320369,NA,0.826955934854174,0.855947519299569
"post1",-2.26458362850087,-0.1182636367541,NA,2015,2016,0.984952069479949,0.985126839389378,0.974086661004021,0.99534311523685,NA,NA,1,NA,NA,1.00891966677191,60.36,NA,0.938785529317165,1.0030266285243,0.109381701249596,0.0461665401627843,0.046341310072213,0.0353011316868562,0.0565575859196842,0.663182680988489,0.734056669860262,0.939473918124325,NA,0.781348641722612,0.905752172914556
"post1",-2.25825196969653,-0.454402849275558,NA,2007,2008,0.972761913642303,0.972789936389445,0.95971266485235,0.985422759392996,NA,NA,3,NA,NA,4.23471597386522,45.2,NA,1.03223709471867,0.915513932423046,0.513744844856251,-0.0594751810763718,-0.0594471583292294,-0.0725244298663243,-0.0468143353256785,0.624038433399773,0.866562662786781,0.934206499220858,NA,0.927592200985015,0.721442973265031
